BCV	text	func_morph	form_morph	strongs	lemma	normalized
Matt 1:15	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:15	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:15	Ἰακώβ,	N-PRI	N-PRI	2384	Ἰακώβ	Ἰακώβ	
Matt 1:16	Ἰακὼβ	N-PRI	N-PRI	2384	Ἰακώβ	Ἰακώβ	
Matt 1:16	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:16	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:16	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:16	Ἰωσὴφ	N-PRI	N-PRI	2501	Ἰωσήφ	Ἰωσήφ	
Matt 1:16	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:16	ἄνδρα	N-ASM	N-ASM	435	ἀνήρ	ἄνδρα	
Matt 1:16	Μαρίας,	N-GSF	N-GSF	3137	Μαρία	Μαρίας	
Matt 1:16	ἐξ	PREP	PREP	1537	ἐκ	ἐξ	
Matt 1:16	ἧς	R-GSF	R-GSF	3739	ὅς	ἧς	
Matt 1:16	ἐγεννήθη	V-API-3S	V-API-3S	1080&5681	γεννάω	ἐγεννήθη	
Matt 1:16	Ἰησοῦς	N-NSM	N-NSM	2424	Ἰησοῦς	Ἰησοῦς	
Matt 1:16	ὁ	T-NSM	T-NSM	3588	ὁ	ὁ	
Matt 1:16	λεγόμενος	V-PPP-NSM	V-PEP-NSM	3004&5746	λέγω	λεγόμενος	
Matt 1:16	Χριστός.	N-NSM	N-NSM	5547	Χριστός	Χριστός	
Matt 1:17	Πᾶσαι	A-NPF	A-NPF	3956	πᾶς	Πᾶσαι	
Matt 1:17	οὖν	CONJ	CONJ	3767	οὖν	οὖν	
Matt 1:17	αἱ	T-NPF	T-NPF	3588	ὁ	αἱ	
Matt 1:17	γενεαὶ	N-NPF	N-NPF	1074	γενεά	γενεαί	
Matt 1:17	ἀπὸ	PREP	PREP	575	ἀπό	ἀπό	
Matt 1:17	Ἀβραὰμ	N-PRI	N-PRI	11	Ἀβραάμ	Ἀβραάμ	
Matt 1:17	ἕως	ADV	ADV	2193	ἕως	ἕως	
Matt 1:17	Δαυεὶδ	N-PRI	N-PRI	1138	Δαυίδ	Δαυείδ	
Matt 1:17	γενεαὶ	N-NPF	N-NPF	1074	γενεά	γενεαί	
Matt 1:17	δεκατέσσαρες,	A-NPF	A-NPF	1180	δεκατέσσαρες	δεκατέσσαρες	
Matt 1:17	καὶ	CONJ	CONJ	2532	καί	καί	
Matt 1:17	ἀπὸ	PREP	PREP	575	ἀπό	ἀπό	
Matt 1:17	Δαυεὶδ	N-PRI	N-PRI	1138	Δαυίδ	Δαυείδ	
Matt 1:17	ἕως	ADV	ADV	2193	ἕως	ἕως	
Matt 1:17	τῆς	T-GSF	T-GSF	3588	ὁ	τῆς	
Matt 1:17	μετοικεσίας	N-GSF	N-GSF	3350	μετοικεσία	μετοικεσίας	
Matt 1:17	Βαβυλῶνος	N-GSF	N-GSF	897	Βαβυλών	Βαβυλῶνος	
Matt 1:17	γενεαὶ	N-NPF	N-NPF	1074	γενεά	γενεαί	
Matt 1:17	δεκατέσσαρες,	A-NPF	A-NPF	1180	δεκατέσσαρες	δεκατέσσαρες	
Matt 1:17	καὶ	CONJ	CONJ	2532	καί	καί	
Matt 1:17	ἀπὸ	PREP	PREP	575	ἀπό	ἀπό	
Matt 1:17	τῆς	T-GSF	T-GSF	3588	ὁ	τῆς	
